facture_id;devis_id;client_id;type_client;agence;date_facture;mois;exercice;date_echeance;delai_contractuel_j;montant_ht;taux_tva;montant_ttc;profil_paiement;date_paiement;statut_facture
FAC-00047;DEV-00123;CLI-0018;Particulier;Bordeaux;2022-11-21;2022-11;2022-2023;2022-12-06;15;3686.15;0.1;4054.77;Bon payeur;2022-12-21;Payée
FAC-00048;DEV-00126;CLI-0135;Professionnel;Bordeaux;2022-11-07;2022-11;2022-2023;2022-12-07;30;7992.91;0.2;9591.49;Litigieux;2023-02-17;Payée
FAC-00049;DEV-00127;CLI-0063;Particulier;Bordeaux;2022-11-15;2022-11;2022-2023;2022-11-30;15;255.22;0.2;306.26;Standard;2022-12-02;Payée
FAC-00050;DEV-00132;CLI-0036;Particulier;Toulouse;2022-11-22;2022-11;2022-2023;2022-12-07;15;320.63;0.2;384.76;Standard;2022-12-11;Payée
FAC-00051;DEV-00134;CLI-0116;Particulier;Bordeaux;2022-12-01;2022-12;2022-2023;2022-12-16;15;3868.01;0.2;4641.61;Bon payeur;2022-12-02;Payée
FAC-00052;DEV-00135;CLI-0214;Particulier;Toulouse;2022-12-06;2022-12;2022-2023;2022-12-21;15;2616.62;0.1;2878.28;Bon payeur;2022-12-07;Payée
FAC-00053;DEV-00140;CLI-0112;Particulier;Bordeaux;2022-12-14;2022-12;2022-2023;2022-12-29;15;609.29;0.2;731.15;Standard;2022-12-29;Payée
FAC-00054;DEV-00141;CLI-0204;Particulier;Toulouse;2022-12-05;2022-12;2022-2023;2022-12-20;15;282.57;0.2;339.08;Standard;2023-01-18;Payée
FAC-00055;DEV-00143;CLI-0147;Particulier;Bordeaux;2022-12-05;2022-12;2022-2023;2022-12-20;15;1155.19;0.1;1270.71;Litigieux;2023-04-19;Payée
FAC-00056;DEV-00145;CLI-0232;Particulier;Bordeaux;2022-12-05;2022-12;2022-2023;2022-12-20;15;1314.77;0.1;1446.25;Standard;2023-01-05;Payée
FAC-00057;DEV-00147;CLI-0072;Particulier;Bordeaux;2022-11-28;2022-11;2022-2023;2022-12-13;15;8098.41;0.2;9718.09;Bon payeur;2022-11-29;Payée
FAC-00058;DEV-00148;CLI-0230;Professionnel;Bordeaux;2022-12-19;2022-12;2022-2023;2023-01-18;30;2541.66;0.2;3049.99;Bon payeur;2023-01-11;Payée
FAC-00059;DEV-00149;CLI-0222;Particulier;Bordeaux;2022-11-30;2022-11;2022-2023;2022-12-15;15;248.78;0.2;298.54;Bon payeur;2022-12-25;Payée
FAC-00060;DEV-00151;CLI-0059;Particulier;Bordeaux;2022-11-29;2022-11;2022-2023;2022-12-14;15;460.38;0.1;506.42;Bon payeur;2022-12-11;Payée
FAC-00061;DEV-00153;CLI-0137;Particulier;Bordeaux;2022-12-08;2022-12;2022-2023;2022-12-23;15;247.46;0.2;296.95;Standard;2022-12-15;Payée
FAC-00062;DEV-00154;CLI-0173;Particulier;Bordeaux;2022-12-21;2022-12;2022-2023;2023-01-05;15;307.86;0.2;369.43;Bon payeur;2023-01-21;Payée
FAC-00063;DEV-00155;CLI-0067;Professionnel;Bordeaux;2022-12-06;2022-12;2022-2023;2023-01-05;30;1768.44;0.2;2122.13;Standard;2023-01-01;Payée
FAC-00064;DEV-00156;CLI-0201;Particulier;Toulouse;2022-12-22;2022-12;2022-2023;2023-01-06;15;7596.34;0.1;8355.97;Standard;2023-02-08;Payée
FAC-00065;DEV-00160;CLI-0054;Particulier;Bordeaux;2022-12-16;2022-12;2022-2023;2022-12-31;15;4165.81;0.2;4998.97;Standard;2023-01-14;Payée
FAC-00066;DEV-00164;CLI-0009;Particulier;Toulouse;2022-12-23;2022-12;2022-2023;2023-01-07;15;416.01;0.1;457.61;Standard;2022-12-26;Payée
FAC-00067;DEV-00167;CLI-0158;Particulier;Bordeaux;2022-12-19;2022-12;2022-2023;2023-01-03;15;3023.73;0.2;3628.48;Bon payeur;2022-12-25;Payée
FAC-00068;DEV-00170;CLI-0096;Particulier;Bordeaux;2022-12-26;2022-12;2022-2023;2023-01-10;15;4357.31;0.1;4793.04;Standard;2022-12-27;Payée
FAC-00069;DEV-00172;CLI-0088;Particulier;Toulouse;2023-01-17;2023-01;2022-2023;2023-02-01;15;3796.3;0.2;4555.56;Standard;2023-02-09;Payée
FAC-00070;DEV-00174;CLI-0032;Particulier;Toulouse;2022-12-27;2022-12;2022-2023;2023-01-11;15;227.15;0.2;272.58;Standard;2023-01-15;Payée
FAC-00071;DEV-00178;CLI-0119;Particulier;Bordeaux;2023-01-16;2023-01;2022-2023;2023-01-31;15;8548.05;0.1;9402.85;Bon payeur;2023-02-03;Payée
FAC-00072;DEV-00179;CLI-0018;Particulier;Bordeaux;2022-12-30;2022-12;2022-2023;2023-01-14;15;2613.17;0.1;2874.49;Bon payeur;2023-01-24;Payée
FAC-00073;DEV-00180;CLI-0098;Particulier;Bordeaux;2023-01-06;2023-01;2022-2023;2023-01-21;15;8806.73;0.2;10568.08;Bon payeur;2023-01-27;Payée
FAC-00074;DEV-00181;CLI-0012;Particulier;Toulouse;2022-12-28;2022-12;2022-2023;2023-01-12;15;1634.9;0.2;1961.88;Bon payeur;2023-01-25;Payée
FAC-00075;DEV-00182;CLI-0026;Particulier;Bordeaux;2022-12-23;2022-12;2022-2023;2023-01-07;15;263.03;0.2;315.64;Standard;2023-01-07;Payée
FAC-00076;DEV-00185;CLI-0109;Professionnel;Toulouse;2023-01-24;2023-01;2022-2023;2023-02-23;30;6234.87;0.2;7481.84;Standard;2023-02-19;Payée
FAC-00077;DEV-00188;CLI-0138;Particulier;Toulouse;2023-02-01;2023-02;2022-2023;2023-02-16;15;2537.54;0.2;3045.05;Standard;2023-02-13;Payée
FAC-00078;DEV-00189;CLI-0025;Syndic;Bordeaux;2023-01-09;2023-01;2022-2023;2023-03-10;60;481.96;0.2;578.35;Standard;2023-02-10;Payée
FAC-00079;DEV-00193;CLI-0172;Particulier;Bordeaux;2023-01-26;2023-01;2022-2023;2023-02-10;15;14068.34;0.1;15475.17;Bon payeur;2023-01-27;Payée
FAC-00080;DEV-00194;CLI-0090;Particulier;Bordeaux;2022-12-26;2022-12;2022-2023;2023-01-10;15;1112.35;0.1;1223.59;Bon payeur;2022-12-27;Payée
FAC-00081;DEV-00195;CLI-0097;Particulier;Toulouse;2023-01-19;2023-01;2022-2023;2023-02-03;15;11920.52;0.1;13112.57;Standard;2023-01-24;Payée
FAC-00082;DEV-00196;CLI-0139;Particulier;Bordeaux;2023-02-07;2023-02;2022-2023;2023-02-22;15;1342.14;0.1;1476.35;Bon payeur;2023-03-04;Payée
FAC-00083;DEV-00199;CLI-0225;Particulier;Toulouse;2023-01-16;2023-01;2022-2023;2023-01-31;15;2723.02;0.1;2995.32;Standard;2023-02-11;Payée
FAC-00084;DEV-00206;CLI-0134;Particulier;Toulouse;2023-02-20;2023-02;2022-2023;2023-03-07;15;1306.54;0.1;1437.19;Standard;2023-04-01;Payée
FAC-00085;DEV-00207;CLI-0187;Particulier;Bordeaux;2023-01-12;2023-01;2022-2023;2023-01-27;15;231.75;0.2;278.1;Standard;2023-01-17;Payée
FAC-00086;DEV-00211;CLI-0086;Particulier;Toulouse;2023-01-30;2023-01;2022-2023;2023-02-14;15;9607.95;0.2;11529.54;Bon payeur;2023-02-16;Payée
FAC-00087;DEV-00212;CLI-0022;Particulier;Bordeaux;2023-01-27;2023-01;2022-2023;2023-02-11;15;881.66;0.2;1057.99;Standard;2023-02-18;Payée
FAC-00088;DEV-00215;CLI-0123;Particulier;Toulouse;2023-01-09;2023-01;2022-2023;2023-01-24;15;14160.29;0.1;15576.32;Standard;2023-01-25;Payée
FAC-00089;DEV-00216;CLI-0213;Professionnel;Bordeaux;2023-02-21;2023-02;2022-2023;2023-03-23;30;20553.14;0.2;24663.77;Lent;2023-05-22;Payée
FAC-00090;DEV-00217;CLI-0245;Professionnel;Toulouse;2023-02-09;2023-02;2022-2023;2023-03-11;30;18389.13;0.2;22066.96;Standard;2023-02-13;Payée
FAC-00091;DEV-00218;CLI-0089;Particulier;Bordeaux;2023-01-27;2023-01;2022-2023;2023-02-11;15;3076.12;0.2;3691.34;Bon payeur;2023-02-02;Payée
FAC-00092;DEV-00220;CLI-0202;Particulier;Bordeaux;2023-02-06;2023-02;2022-2023;2023-02-21;15;4955.43;0.1;5450.97;Bon payeur;2023-03-07;Payée
FAC-00093;DEV-00222;CLI-0045;Syndic;Bordeaux;2023-02-06;2023-02;2022-2023;2023-04-07;60;807.06;0.2;968.47;Lent;2023-06-05;Payée
FAC-00094;DEV-00226;CLI-0166;Particulier;Bordeaux;2023-01-30;2023-01;2022-2023;2023-02-14;15;163.21;0.1;179.53;Bon payeur;2023-01-31;Payée
FAC-00095;DEV-00229;CLI-0160;Particulier;Bordeaux;2023-02-14;2023-02;2022-2023;2023-03-01;15;465.27;0.1;511.8;Standard;2023-02-20;Payée
FAC-00096;DEV-00232;CLI-0169;Professionnel;Bordeaux;2023-01-30;2023-01;2022-2023;2023-03-01;30;387.44;0.2;464.93;Lent;2023-04-20;Payée
FAC-00097;DEV-00233;CLI-0243;Professionnel;Bordeaux;2023-02-10;2023-02;2022-2023;2023-03-12;30;17576.46;0.2;21091.75;Bon payeur;2023-03-19;Payée
FAC-00098;DEV-00236;CLI-0163;Particulier;Toulouse;2023-02-15;2023-02;2022-2023;2023-03-02;15;775.28;0.1;852.81;Standard;2023-02-27;Payée
FAC-00099;DEV-00241;CLI-0233;Particulier;Toulouse;2023-02-20;2023-02;2022-2023;2023-03-07;15;298.71;0.2;358.45;Lent;2023-03-26;Payée
FAC-00100;DEV-00244;CLI-0124;Particulier;Toulouse;2023-02-14;2023-02;2022-2023;2023-03-01;15;154.71;0.1;170.18;Lent;2023-02-18;Payée
FAC-00101;DEV-00247;CLI-0040;Professionnel;Bordeaux;2023-02-14;2023-02;2022-2023;2023-03-16;30;7573.47;0.2;9088.16;Standard;2023-03-26;Payée
FAC-00102;DEV-00248;CLI-0213;Professionnel;Bordeaux;2023-02-20;2023-02;2022-2023;2023-03-22;30;17581.38;0.2;21097.66;Lent;2023-06-08;Payée
FAC-00103;DEV-00249;CLI-0196;Particulier;Bordeaux;2023-02-28;2023-02;2022-2023;2023-03-15;15;266.75;0.2;320.1;Standard;2023-03-10;Payée
FAC-00104;DEV-00252;CLI-0015;Particulier;Bordeaux;2023-02-21;2023-02;2022-2023;2023-03-08;15;10987.04;0.1;12085.74;Bon payeur;2023-03-12;Payée
FAC-00105;DEV-00253;CLI-0010;Particulier;Bordeaux;2023-03-15;2023-03;2022-2023;2023-03-30;15;6565.05;0.1;7221.56;Bon payeur;2023-04-15;Payée
FAC-00106;DEV-00256;CLI-0176;Professionnel;Toulouse;2023-02-20;2023-02;2022-2023;2023-03-22;30;17871.36;0.2;21445.63;Bon payeur;2023-04-02;Payée
FAC-00107;DEV-00257;CLI-0206;Syndic;Toulouse;2023-03-14;2023-03;2022-2023;2023-05-13;60;29471.58;0.2;35365.9;Bon payeur;2023-05-03;Payée
FAC-00108;DEV-00258;CLI-0054;Particulier;Bordeaux;2023-03-16;2023-03;2022-2023;2023-03-31;15;509.59;0.2;611.51;Standard;2023-04-05;Payée
FAC-00109;DEV-00261;CLI-0091;Particulier;Bordeaux;2023-02-16;2023-02;2022-2023;2023-03-03;15;390.31;0.2;468.37;Bon payeur;2023-02-19;Payée
FAC-00110;DEV-00264;CLI-0145;Collectivité;Bordeaux;2023-03-14;2023-03;2022-2023;2023-04-28;45;904.75;0.2;1085.7;Bon payeur;2023-03-28;Payée
FAC-00111;DEV-00268;CLI-0095;Particulier;Bordeaux;2023-03-13;2023-03;2022-2023;2023-03-28;15;6218.39;0.1;6840.23;Standard;2023-03-14;Payée
FAC-00112;DEV-00269;CLI-0118;Particulier;Toulouse;2023-03-13;2023-03;2022-2023;2023-03-28;15;3831.84;0.1;4215.02;Bon payeur;2023-03-14;Payée
FAC-00113;DEV-00270;CLI-0231;Professionnel;Bordeaux;2023-02-13;2023-02;2022-2023;2023-03-15;30;1993.88;0.2;2392.66;Bon payeur;2023-03-20;Payée
FAC-00114;DEV-00271;CLI-0139;Particulier;Bordeaux;2023-03-13;2023-03;2022-2023;2023-03-28;15;241.05;0.2;289.26;Bon payeur;2023-04-10;Payée
FAC-00115;DEV-00273;CLI-0052;Particulier;Toulouse;2023-03-10;2023-03;2022-2023;2023-03-25;15;286.48;0.2;343.78;Standard;2023-03-16;Payée
FAC-00116;DEV-00276;CLI-0117;Particulier;Toulouse;2023-04-03;2023-04;2022-2023;2023-04-18;15;1308.28;0.1;1439.11;Standard;2023-04-07;Payée
FAC-00117;DEV-00277;CLI-0016;Particulier;Bordeaux;2023-04-14;2023-04;2022-2023;2023-04-29;15;655.3;0.1;720.83;Standard;2023-04-16;Payée
FAC-00118;DEV-00280;CLI-0107;Particulier;Toulouse;2023-03-20;2023-03;2022-2023;2023-04-04;15;612.32;0.2;734.78;Standard;2023-03-27;Payée
FAC-00119;DEV-00281;CLI-0255;Particulier;Bordeaux;2023-03-14;2023-03;2022-2023;2023-03-29;15;697.97;0.1;767.77;Lent;2023-06-26;Payée
FAC-00120;DEV-00283;CLI-0143;Particulier;Toulouse;2023-03-10;2023-03;2022-2023;2023-03-25;15;267.3;0.2;320.76;Bon payeur;2023-03-11;Payée
FAC-00121;DEV-00286;CLI-0121;Syndic;Toulouse;2023-03-20;2023-03;2022-2023;2023-05-19;60;693.68;0.2;832.42;Bon payeur;2023-05-30;Payée
FAC-00122;DEV-00287;CLI-0257;Professionnel;Toulouse;2023-03-27;2023-03;2022-2023;2023-04-26;30;5808.77;0.2;6970.52;Bon payeur;2023-03-28;Payée
FAC-00123;DEV-00292;CLI-0247;Professionnel;Bordeaux;2023-04-04;2023-04;2022-2023;2023-05-04;30;14856.8;0.2;17828.16;Lent;2023-04-05;Payée
FAC-00124;DEV-00294;CLI-0164;Particulier;Toulouse;2023-03-27;2023-03;2022-2023;2023-04-11;15;717.0;0.2;860.4;Standard;2023-05-03;Payée
FAC-00125;DEV-00303;CLI-0138;Particulier;Toulouse;2023-03-15;2023-03;2022-2023;2023-03-30;15;11530.18;0.1;12683.2;Standard;2023-04-18;Payée
FAC-00126;DEV-00305;CLI-0116;Particulier;Bordeaux;2023-03-29;2023-03;2022-2023;2023-04-13;15;199.77;0.2;239.72;Bon payeur;2023-03-30;Payée
FAC-00127;DEV-00311;CLI-0265;Particulier;Bordeaux;2023-05-11;2023-05;2022-2023;2023-05-26;15;806.58;0.1;887.24;Standard;2023-06-04;Payée
FAC-00128;DEV-00312;CLI-0154;Particulier;Bordeaux;2023-04-10;2023-04;2022-2023;2023-04-25;15;790.67;0.2;948.8;Bon payeur;2023-05-01;Payée
FAC-00129;DEV-00316;CLI-0034;Particulier;Toulouse;2023-04-10;2023-04;2022-2023;2023-04-25;15;9918.55;0.2;11902.26;Bon payeur;2023-04-11;Payée
FAC-00130;DEV-00317;CLI-0016;Particulier;Bordeaux;2023-05-04;2023-05;2022-2023;2023-05-19;15;412.75;0.1;454.03;Standard;2023-05-29;Payée
FAC-00131;DEV-00318;CLI-0007;Particulier;Toulouse;2023-04-12;2023-04;2022-2023;2023-04-27;15;253.62;0.2;304.34;Standard;2023-05-10;Payée
FAC-00132;DEV-00320;CLI-0068;Particulier;Bordeaux;2023-04-07;2023-04;2022-2023;2023-04-22;15;245.22;0.2;294.26;Bon payeur;2023-04-26;Payée
FAC-00133;DEV-00326;CLI-0195;Particulier;Bordeaux;2023-04-10;2023-04;2022-2023;2023-04-25;15;9312.0;0.1;10243.2;Bon payeur;2023-04-21;Payée
FAC-00134;DEV-00329;CLI-0066;Professionnel;Toulouse;2023-04-24;2023-04;2022-2023;2023-05-24;30;6437.88;0.2;7725.46;Bon payeur;2023-05-20;Payée
FAC-00135;DEV-00333;CLI-0172;Particulier;Bordeaux;2023-04-05;2023-04;2022-2023;2023-04-20;15;1386.51;0.1;1525.16;Bon payeur;2023-04-14;Payée
FAC-00136;DEV-00335;CLI-0132;Particulier;Toulouse;2023-05-08;2023-05;2022-2023;2023-05-23;15;3810.21;0.1;4191.23;Bon payeur;2023-05-23;Payée
FAC-00137;DEV-00336;CLI-0139;Particulier;Bordeaux;2023-05-01;2023-05;2022-2023;2023-05-16;15;821.39;0.2;985.67;Bon payeur;2023-05-02;Payée
FAC-00138;DEV-00337;CLI-0137;Particulier;Bordeaux;2023-05-02;2023-05;2022-2023;2023-05-17;15;2925.98;0.2;3511.18;Standard;2023-05-21;Payée
FAC-00139;DEV-00338;CLI-0085;Particulier;Toulouse;2023-03-30;2023-03;2022-2023;2023-04-14;15;5703.91;0.1;6274.3;Lent;2023-06-30;Payée
FAC-00140;DEV-00339;CLI-0209;Particulier;Toulouse;2023-04-24;2023-04;2022-2023;2023-05-09;15;8696.92;0.2;10436.3;Standard;2023-05-05;Payée
FAC-00141;DEV-00341;CLI-0008;Particulier;Toulouse;2023-04-24;2023-04;2022-2023;2023-05-09;15;366.81;0.2;440.17;Bon payeur;2023-04-25;Payée
FAC-00142;DEV-00342;CLI-0200;Particulier;Bordeaux;2023-05-10;2023-05;2022-2023;2023-05-25;15;3745.62;0.1;4120.18;Standard;2023-05-13;Payée
FAC-00143;DEV-00344;CLI-0059;Particulier;Bordeaux;2023-05-18;2023-05;2022-2023;2023-06-02;15;208.74;0.2;250.49;Bon payeur;2023-05-28;Payée
FAC-00144;DEV-00347;CLI-0189;Professionnel;Bordeaux;2023-05-08;2023-05;2022-2023;2023-06-07;30;2766.06;0.2;3319.27;Lent;2023-07-20;Payée
FAC-00145;DEV-00349;CLI-0121;Syndic;Toulouse;2023-05-26;2023-05;2022-2023;2023-07-25;60;22675.9;0.2;27211.08;Bon payeur;2023-07-07;Payée
FAC-00146;DEV-00351;CLI-0188;Particulier;Bordeaux;2023-05-15;2023-05;2022-2023;2023-05-30;15;1514.19;0.2;1817.03;Standard;2023-05-22;Payée
FAC-00147;DEV-00352;CLI-0235;Particulier;Toulouse;2023-04-28;2023-04;2022-2023;2023-05-13;15;5993.68;0.1;6593.05;Lent;2023-04-29;Payée
FAC-00148;DEV-00353;CLI-0142;Particulier;Bordeaux;2023-05-15;2023-05;2022-2023;2023-05-30;15;447.47;0.1;492.22;Standard;2023-06-27;Payée
FAC-00149;DEV-00354;CLI-0206;Syndic;Toulouse;2023-05-04;2023-05;2022-2023;2023-07-03;60;3779.9;0.2;4535.88;Bon payeur;2023-06-29;Payée
FAC-00150;DEV-00355;CLI-0253;Particulier;Bordeaux;2023-04-24;2023-04;2022-2023;2023-05-09;15;10471.63;0.2;12565.96;Bon payeur;2023-04-28;Payée
FAC-00151;DEV-00356;CLI-0026;Particulier;Bordeaux;2023-04-28;2023-04;2022-2023;2023-05-13;15;3420.64;0.1;3762.7;Standard;2023-05-22;Payée
FAC-00152;DEV-00360;CLI-0196;Particulier;Bordeaux;2023-05-26;2023-05;2022-2023;2023-06-10;15;308.32;0.2;369.98;Standard;2023-06-09;Payée
FAC-00153;DEV-00361;CLI-0267;Particulier;Bordeaux;2023-05-10;2023-05;2022-2023;2023-05-25;15;2223.29;0.1;2445.62;Bon payeur;2023-05-14;Payée
FAC-00154;DEV-00364;CLI-0221;Particulier;Bordeaux;2023-05-08;2023-05;2022-2023;2023-05-23;15;4019.02;0.1;4420.92;Lent;2023-07-13;Payée
